;;Germans;Germans;Germans;Foreigners;Foreigners;Foreigners;Total;Total;Total
;;Male;Female;Total;Male;Female;Total;Male;Female;Total
2019-12-01;Humanities;6924;8811;15735;2659;3351;6010;9583;12162;21745
2019-12-01;Sports;494;405;899;96;53;149;590;458;1048
2019-12-01;Law, Business and Economics, Social Sciences;13342;12366;25708;2532;2753;5285;15874;15119;30993
2019-12-01;Mathematics, Natural Sciences;18662;12316;30978;6786;5977;12763;25448;18293;43741
2019-12-01;Human Medicine/Health Science;13286;21538;34824;2793;3432;6225;16079;24970;41049
2019-12-01;Agricultural, Forest a.Nutr. Sciences,Veterin.Med.;1250;2649;3899;696;722;1418;1946;3371;5317
2019-12-01;Engineering Sciences;19866;4478;24344;6390;2520;8910;26256;6998;33254
2019-12-01;Art, Art Theory;1072;2031;3103;273;491;764;1345;2522;3867
2020-12-01;Humanities;6669;8517;15186;2540;3128;5668;9209;11645;20854
2020-12-01;Sports;512;449;961;96;58;154;608;507;1115
2020-12-01;Law, Business and Economics, Social Sciences;14096;13098;27194;2331;2665;4996;16427;15763;32190
2020-12-01;Mathematics, Natural Sciences;18824;12606;31430;6966;6309;13275;25790;18915;44705
2020-12-01;Human Medicine/Health Science;14872;24319;39191;2957;3826;6783;17829;28145;45974
2020-12-01;Agricultural, Forest a.Nutr. Sciences,Veterin.Med.;1250;2592;3842;691;731;1422;1941;3323;5264
2020-12-01;Engineering Sciences;20592;4636;25228;6399;2575;8974;26991;7211;34202
2020-12-01;Art, Art Theory;1004;1999;3003;242;470;712;1246;2469;3715
2021-12-01;Humanities;6804;8693;15497;2653;3335;5988;9457;12028;21485
2021-12-01;Sports;493;443;936;101;70;171;594;513;1107
2021-12-01;Law, Business and Economics, Social Sciences;14460;13718;28178;2409;2818;5227;16869;16536;33405
2021-12-01;Mathematics, Natural Sciences;19086;13094;32180;7574;7062;14636;26660;20156;46816
2021-12-01;Human Medicine/Health Science;16841;27612;44453;3274;4314;7588;20115;31926;52041
2021-12-01;Agricultural, Forest a.Nutr. Sciences,Veterin.Med.;1276;2695;3971;710;790;1500;1986;3485;5471
2021-12-01;Engineering Sciences;21159;4934;26093;6841;2823;9664;28000;7757;35757
2021-12-01;Art, Art Theory;1007;2036;3043;252;484;736;1259;2520;3779
2022-12-01;Humanities;6735;8760;15495;2803;3482;6285;9538;12242;21780
2022-12-01;Sports;577;513;1090;115;77;192;692;590;1282
2022-12-01;Law, Business and Economics, Social Sciences;14400;14027;28427;2378;2795;5173;16778;16822;33600
2022-12-01;Mathematics, Natural Sciences;18621;13164;31785;7914;7545;15459;26535;20709;47244
2022-12-01;Human Medicine/Health Science;17199;28694;45893;3502;4610;8112;20701;33304;54005
2022-12-01;Agricultural, Forest a.Nutr. Sciences,Veterin.Med.;1305;2839;4144;729;811;1540;2034;3650;5684
2022-12-01;Engineering Sciences;21856;5313;27169;7308;3108;10416;29164;8421;37585
2022-12-01;Art, Art Theory;1020;2053;3073;278;516;794;1298;2569;3867
