;;Germans;Germans;Germans;Foreigners;Foreigners;Foreigners;Total;Total;Total
;;Male;Female;Total;Male;Female;Total;Male;Female;Total
2019-12-01;Humanities;6924;8811;15735;2659;3351;6010;9583;12162;21745
2019-12-01;  Humanities, general;351;558;909;112;222;334;463;780;1243
2019-12-01;  Protestant Theology, Protes. Religious Education;456;428;884;140;56;196;596;484;1080
2019-12-01;  Catholic Theology, Catholic Religious Education;457;358;815;207;47;254;664;405;1069
2019-12-01;  Philosophy;950;684;1634;527;318;845;1477;1002;2479
2019-12-01;  History;2257;2051;4308;398;424;822;2655;2475;5130
2019-12-01;  Information and library sciences;16;18;34;3;7;10;19;25;44
2019-12-01;  General and Comp. Literary Studies and Linguistics;294;573;867;174;337;511;468;910;1378
2019-12-01;  Classical Philology, Modern Greek;140;139;279;49;64;113;189;203;392
2019-12-01;  German Stud. (Germ., Germanic Lang. excl. English);813;1533;2346;219;513;732;1032;2046;3078
2019-12-01;  English Studies, American Studies;321;941;1262;162;372;534;483;1313;1796
2019-12-01;  Romance Studies;138;456;594;109;218;327;247;674;921
2019-12-01;  Slavic, Baltic, Finno-Ugrian Studies;34;102;136;22;115;137;56;217;273
2019-12-01;  Non-European Linguistics and Cultural Studies;485;546;1031;390;487;877;875;1033;1908
2019-12-01;  Cultural Studies in the narrower sense;191;417;608;125;169;294;316;586;902
2019-12-01;  Islamic Studies/Islamic Theology;21;7;28;22;2;24;43;9;52
2019-12-01;  Media Science;-;-;-;-;-;-;-;-;-
2019-12-01;Sports;494;405;899;96;53;149;590;458;1048
2019-12-01;Law, Business and Economics, Social Sciences;13342;12366;25708;2532;2753;5285;15874;15119;30993
2019-12-01;  Law, Business and Economics, Social Sciences, gen.;459;468;927;73;117;190;532;585;1117
2019-12-01;  Regional Studies;244;98;342;180;81;261;424;179;603
2019-12-01;  Political Science;862;639;1501;305;265;570;1167;904;2071
2019-12-01;  Social Sciences/Sociology;938;1177;2115;258;339;597;1196;1516;2712
2019-12-01;  Applied Social Science;64;151;215;9;18;27;73;169;242
2019-12-01;  Law;4394;2970;7364;749;682;1431;5143;3652;8795
2019-12-01;  Administrative Sciences;26;13;39;12;10;22;38;23;61
2019-12-01;  Business and Economics;4247;2419;6666;648;599;1247;4895;3018;7913
2019-12-01;  Business Engineering specialising in Economics;140;47;187;12;11;23;152;58;210
2019-12-01;  Psychology;885;2067;2952;130;303;433;1015;2370;3385
2019-12-01;  Educational Sciences;1083;2317;3400;156;328;484;1239;2645;3884
2019-12-01;  Communication Science/Journalism;-;-;-;-;-;-;-;-;-
2019-12-01;Mathematics, Natural Sciences;18662;12316;30978;6786;5977;12763;25448;18293;43741
2019-12-01;  Mathematics, Natural Sciences, general;249;340;589;97;108;205;346;448;794
2019-12-01;  Mathematics;1762;697;2459;447;211;658;2209;908;3117
2019-12-01;  Physics, Astronomy;5278;1155;6433;1834;924;2758;7112;2079;9191
2019-12-01;  Chemistry;5859;3287;9146;1565;1313;2878;7424;4600;12024
2019-12-01;  Pharmacy;738;705;1443;219;254;473;957;959;1916
2019-12-01;  Biology;3307;4990;8297;1911;2561;4472;5218;7551;12769
2019-12-01;  Geosciences (excluding Geography);929;699;1628;526;433;959;1455;1132;2587
2019-12-01;  Geography;540;443;983;187;173;360;727;616;1343
2019-12-01;Human Medicine/Health Science;13286;21538;34824;2793;3432;6225;16079;24970;41049
2019-12-01;  Health Science;383;768;1151;101;156;257;484;924;1408
2019-12-01;  Human Medicine (excluding dentistry);11681;18509;30190;2483;3068;5551;14164;21577;35741
2019-12-01;  Dentistry;1222;2261;3483;209;208;417;1431;2469;3900
2019-12-01;Agricultural, Forest a.Nutr. Sciences,Veterin.Med.;1250;2649;3899;696;722;1418;1946;3371;5317
2019-12-01;  Veterinary Medicine;344;1513;1857;90;133;223;434;1646;2080
2019-12-01;  Land Management Engineering, Environmental Design;46;80;126;22;24;46;68;104;172
2019-12-01;  Agricult. Sciences, Food and Beverage Technology;620;750;1370;457;447;904;1077;1197;2274
2019-12-01;  Forest Science, Wood Science;183;106;289;98;75;173;281;181;462
2019-12-01;  Nutritional and Domestic Sciences;57;200;257;29;43;72;86;243;329
2019-12-01;Engineering Sciences;19866;4478;24344;6390;2520;8910;26256;6998;33254
2019-12-01;  Engineering, general;621;167;788;179;63;242;800;230;1030
2019-12-01;  Mining, Metallurgy;211;65;276;85;27;112;296;92;388
2019-12-01;  Mechnical Engineering/Process Engineering;7614;1573;9187;1810;645;2455;9424;2218;11642
2019-12-01;  Electrical Engineering and Information Technology;3634;488;4122;1316;424;1740;4950;912;5862
2019-12-01;  Traffic Engineering, Nautical Science;636;96;732;111;38;149;747;134;881
2019-12-01;  Architecture, Interior Architecture;382;365;747;161;160;321;543;525;1068
2019-12-01;  Spatial Planning;160;162;322;164;140;304;324;302;626
2019-12-01;  Civil Engineering;1275;497;1772;618;262;880;1893;759;2652
2019-12-01;  Surveying;153;47;200;86;29;115;239;76;315
2019-12-01;  Business Engineer. specialising in Engineering Sc.;166;62;228;28;16;44;194;78;272
2019-12-01;  Computer Science;4389;762;5151;1574;572;2146;5963;1334;7297
2019-12-01;  Materials Engineering and Materials Technology;625;194;819;258;144;402;883;338;1221
2019-12-01;Art, Art Theory;1072;2031;3103;273;491;764;1345;2522;3867
2019-12-01;  Art, Art Theory, general;388;1369;1757;74;263;337;462;1632;2094
2019-12-01;  Fine Arts;25;39;64;8;16;24;33;55;88
2019-12-01;  Design;118;83;201;37;19;56;155;102;257
2019-12-01;  Perform. Arts, Film and Telev.Stud., Theatre Stud.;94;157;251;28;54;82;122;211;333
2019-12-01;  Music, Musicology;447;383;830;126;139;265;573;522;1095
2019-12-01;Outside the classification of subject areas;482;606;1088;304;372;676;786;978;1764
2020-12-01;Humanities;6669;8517;15186;2540;3128;5668;9209;11645;20854
2020-12-01;  Humanities, general;172;292;464;67;138;205;239;430;669
2020-12-01;  Protestant Theology, Protes. Religious Education;455;448;903;141;56;197;596;504;1100
2020-12-01;  Catholic Theology, Catholic Religious Education;469;359;828;207;30;237;676;389;1065
2020-12-01;  Philosophy;989;712;1701;545;305;850;1534;1017;2551
2020-12-01;  History;2222;2031;4253;349;371;720;2571;2402;4973
2020-12-01;  Information and library sciences;16;21;37;3;9;12;19;30;49
2020-12-01;  General and Comp. Literary Studies and Linguistics;287;594;881;168;341;509;455;935;1390
2020-12-01;  Classical Philology, Modern Greek;133;138;271;52;54;106;185;192;377
2020-12-01;  German Stud. (Germ., Germanic Lang. excl. English);773;1470;2243;201;490;691;974;1960;2934
2020-12-01;  English Studies, American Studies;263;821;1084;148;350;498;411;1171;1582
2020-12-01;  Romance Studies;147;431;578;105;220;325;252;651;903
2020-12-01;  Slavic, Baltic, Finno-Ugrian Studies;35;103;138;21;99;120;56;202;258
2020-12-01;  Non-European Linguistics and Cultural Studies;346;452;798;342;442;784;688;894;1582
2020-12-01;  Cultural Studies in the narrower sense;172;401;573;126;163;289;298;564;862
2020-12-01;  Islamic Studies/Islamic Theology;24;12;36;23;6;29;47;18;65
2020-12-01;  Media Science;166;232;398;42;54;96;208;286;494
2020-12-01;Sports;512;449;961;96;58;154;608;507;1115
2020-12-01;Law, Business and Economics, Social Sciences;14096;13098;27194;2331;2665;4996;16427;15763;32190
2020-12-01;  Law, Business and Economics, Social Sciences, gen.;310;260;570;48;48;96;358;308;666
2020-12-01;  Regional Studies;299;120;419;74;38;112;373;158;531
2020-12-01;  Political Science;896;648;1544;281;260;541;1177;908;2085
2020-12-01;  Social Sciences/Sociology;979;1204;2183;263;334;597;1242;1538;2780
2020-12-01;  Applied Social Science;75;150;225;7;21;28;82;171;253
2020-12-01;  Law;4749;3238;7987;687;633;1320;5436;3871;9307
2020-12-01;  Administrative Sciences;21;14;35;14;10;24;35;24;59
2020-12-01;  Business and Economics;4500;2610;7110;650;619;1269;5150;3229;8379
2020-12-01;  Business Engineering specialising in Economics;113;43;156;11;6;17;124;49;173
2020-12-01;  Psychology;947;2195;3142;132;315;447;1079;2510;3589
2020-12-01;  Educational Sciences;1085;2401;3486;135;322;457;1220;2723;3943
2020-12-01;  Communication Science/Journalism;122;215;337;29;59;88;151;274;425
2020-12-01;Mathematics, Natural Sciences;18824;12606;31430;6966;6309;13275;25790;18915;44705
2020-12-01;  Mathematics, Natural Sciences, general;390;425;815;151;167;318;541;592;1133
2020-12-01;  Mathematics;1738;685;2423;431;227;658;2169;912;3081
